Source,Target,Type,Id,Label,timeset,Weight
9,28,Undirected,1873,,"<[2020.0, 2025.0]>",1
9,32,Undirected,1875,,"<[2020.0, 2025.0]>",1
10,12,Undirected,1877,,"<[2020.0, 2025.0]>",1
10,13,Undirected,1878,,"<[2020.0, 2025.0]>",1
10,14,Undirected,1879,,"<[2020.0, 2025.0]>",1
10,15,Undirected,1880,,"<[2020.0, 2025.0]>",1
10,18,Undirected,1882,,"<[2020.0, 2025.0]>",1
10,19,Undirected,1883,,"<[2020.0, 2025.0]>",1
10,20,Undirected,1884,,"<[2020.0, 2025.0]>",1
10,22,Undirected,1885,,"<[2020.0, 2025.0]>",1
10,26,Undirected,1887,,"<[2020.0, 2025.0]>",1
10,27,Undirected,1888,,"<[2020.0, 2025.0]>",1
10,28,Undirected,1889,,"<[2020.0, 2025.0]>",1
10,29,Undirected,1890,,"<[2020.0, 2025.0]>",1
10,32,Undirected,1891,,"<[2020.0, 2025.0]>",1
10,34,Undirected,1893,,"<[2020.0, 2025.0]>",1
10,35,Undirected,1894,,"<[2020.0, 2025.0]>",1
10,39,Undirected,1895,,"<[2020.0, 2025.0]>",1
10,41,Undirected,1896,,"<[2020.0, 2025.0]>",1
10,46,Undirected,1897,,"<[2020.0, 2025.0]>",1
11,16,Undirected,1899,,"<[2020.0, 2025.0]>",1
11,17,Undirected,1900,,"<[2020.0, 2025.0]>",1
11,22,Undirected,1901,,"<[2020.0, 2025.0]>",1
11,24,Undirected,1902,,"<[2020.0, 2025.0]>",1
11,25,Undirected,1903,,"<[2020.0, 2025.0]>",1
11,27,Undirected,1904,,"<[2020.0, 2025.0]>",1
11,38,Undirected,1905,,"<[2020.0, 2025.0]>",1
12,13,Undirected,1908,,"<[2020.0, 2025.0]>",1
12,14,Undirected,1909,,"<[2020.0, 2025.0]>",1
12,17,Undirected,1911,,"<[2020.0, 2025.0]>",1
12,18,Undirected,1912,,"<[2020.0, 2025.0]>",1
12,19,Undirected,1913,,"<[2020.0, 2025.0]>",1
12,20,Undirected,1914,,"<[2020.0, 2025.0]>",1
12,22,Undirected,1915,,"<[2020.0, 2025.0]>",1
